,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
13,NamanMalviya16,"𝙈𝙤𝙝𝙖𝙗𝙗𝙖𝙩 𝙢𝙚𝙞𝙣 𝙨𝙝𝙖𝙧𝙩𝙚𝙞𝙣 𝙣𝙖𝙝𝙞 𝙝𝙤𝙩𝙞 , 𝙩𝙤 𝙖𝙛𝙨𝙤𝙤𝙨 𝙗𝙝𝙞 𝙣𝙖𝙝𝙞 𝙝𝙤𝙣𝙖 𝙘𝙝𝙖𝙝𝙞𝙮𝙚 ❤️

@iamsrk & @msdhoni ❤️🔥","Indore, India",774,867,18213,3,"AVERAGE OF COMMENTS  PER/POSTs On INSTAGRAM (MALE CELEBs)

1.#MSDhoni :103K+
2.#SidharthShukla : 50K+
3.#ShahrukhKhan : 32.6K+
4.#NarendraModi : 17K+
4.#Salmankhan : 14K+
6.#ViratKohli :12.5K

https://t.co/xEpZWVQEen","['MSDhoni', 'SidharthShukla', 'ShahrukhKhan']"
14,abhishe01685113,"self employed, 
Big fan of Narendra modi sir and of course #sidnaaz 
missing you Sidharth 
love you Shehnaaz",,450,74,5399,0,@himantabiswa @BJP4Assam @narendramodi Congratulations for the grand victory.,[]
15,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187359,0,"@mygovindia @narendramodi I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
16,SamirDa66405600,"Big Fan of @narendramodi ji & BJP | Proud BJP ian | Proud Hindu| Prouder Hindustain 🚩🚩
Bharat mata ki jay 🇮🇳",Ausgram,734,382,35436,5528,"On the eve of Women’s Day, interacted with recipients of the Nari Shakti Puraskar. We are very proud of their accomplishments and their efforts to serve society. 

https://t.co/lfJIr6A1nn https://t.co/wOlLHDeAW4",[]
17,WildWatcha,"Crazy foodie, especially small-towns' street-food (vegetarian) of India",,8,10,1454,341,"BJP's clean sweep in the municipal elections of Assam shows the confidence in PM Sh @narendramodi ji's ""Act East"" policy by the people of Assam.
 
I congratulate the citizens of Assam, CM Shri @himantabiswa ji, @BJP4Assam and its allies. https://t.co/0iI2zJBeOj",[]
18,Raja04468666,,,9,5,288,2084,"I bow my head in gratitude to the people of Assam for the thumping victory of candidates from @BJP4Assam &amp; its allies in the municipal elections.

The victory reflects the public trust on our alliance guided by the visionary leadership of Adarniya PM Shri @narendramodi ji. https://t.co/AU5nOSDwfc",[]
19,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187359,0,"@mygovindia @narendramodi I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
20,AnantaVirgamwar,"B . A . ( Elt ) , D .ED . , M . A . , B . ED . ( Eng ) , M . A . ( Mar . ,Pol . Sci . , Soc,  His)  , Have a nice sweet day .","Warora , Maharashtra , India .",205,23,8,0,"@narendramodi Nice , Jay Shri Krishna . Welcome sir , please give me a job and some money . All the best . Thank you , God bless you .",[]
21,dkv1949,EX. Banker. social activist & free thinker. Lives my own life. Disclaimer : Retweets are not Endorsement of Views .,MUZAFFAR NAGAR (U.P.),526,130,41125,0,"An eye opening wake-up call by an ex. DGP of @Uppolice !
@narendramodi 
@rajnathsingh 
@TheAjitDovalNSA https://t.co/qHfZ7QHMUV",[]
22,umate_kunal,"Member of @BJYM 🚩मोदी,योगी,जय श्रीराम🚩@myogiadityanath,@narendramodi |
Nationalist | Social Worker | Proud Hindu | #Vote4BJP |Proud #INDIAN🇮🇳","Nagpur, India",2141,1960,107844,8,@himantabiswa @BJP4Assam @narendramodi @JPNadda @BJP4India Congratulations team @BJP4Assam &amp; @himantabiswa Da 🙏🏻,[]
23,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187359,0,"@mygovindia @narendramodi I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
24,Sameer801050,Nationalist / Namo Fan / BJP,"New Delhi, India",348,128,1066,899,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
25,Sachinkumar_I,,Delhi NCR,282,86,10332,0,@DrRPNishank @narendramodi @AmitShah @PMOIndia @HMOIndia @rajnathsingh @nsitharaman @smritiirani @DDNewslive @JPNadda @PIB_India Nice.. Congratulations.,[]
26,indian_better,,,61,103,18241,0,"@DrPramodPSawant @ss_suryawanshi @BJP4Goa @Dev_Fadnavis @CTRavi_BJP @ShetSadanand @NSawaikar @TendulkarBJP @BJP4India @narendramodi @JPNadda @AmitShah EVM rigging completed in Goa? RIP democracy 
Soon people will come to streets. That's only way out.

#EVM_चोर_BJP",['EVM_चोर_BJP']
27,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187359,0,"@mygovindia @narendramodi I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
28,Dev_vrk,🇮🇳,India,271,40,10185,5,"Glimpse of Inauguration of Pune Metro.
Dr. Brijesh Dixit, MD #MahaMetro briefed about #PuneMetro Rail Project to Hon'ble PM Shri. @narendramodi and all other dignitaries through the model displayed in the gallery made at Garware College #MetroStation.

#AaliApliMetro https://t.co/iAxpcNb9v1","['MahaMetro', 'PuneMetro']"
29,umate_kunal,"Member of @BJYM 🚩मोदी,योगी,जय श्रीराम🚩@myogiadityanath,@narendramodi |
Nationalist | Social Worker | Proud Hindu | #Vote4BJP |Proud #INDIAN🇮🇳","Nagpur, India",2141,1960,107844,568,"I congratulate all @BJP4Assam karyakartas &amp; leaders who worked tirelessly spreading the development ideals of Adarniya PM Shri @narendramodi ji.

This massive mandate for growth &amp; development will inspire us to pursue our agenda of progress with renewed vigour.

@JPNadda https://t.co/K3gNgMBUoM",[]
30,ToponKumarGogo1,"MEMBER OF PARLIAMENT- JORHAT (ASSAM) LOK SABHA |
STATE VICE PRESIDENT, BJP ASSAM PRADESH|
 FORMER MINISTER OF POWER, GOA | FORMER MLA SONARI LAC - ASSAM","Sonari, India",196,4707,2540,1013,"BJP's massive victory in the municipal elections of Assam shows that the public's confidence in PM Shri @narendramodi ji's ""Act East"" policy has been welcomed by the people of Assam.
 
I congratulate and thank the people of Assam, CM Shri @himantabiswa ,@BJP4Assam and its allies.",[]
31,IamRajonline,"Vande Mataram...A tourism professional...Dedicated and committed towards family, friends & my nation. RTs are not endorsements. Followed by Shri Piyush Goyal","Noida, India",1932,1836,232874,39,"Infrastructure development gets big boost. 

Cabinet led by PM @NarendraModi ji clears setting up of National Land Monetization Corporation.

It will help monetise unused &amp; under-used assets &amp; create substantial revenue. https://t.co/QaQRIrGHRS",[]
32,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187359,0,"@mygovindia @narendramodi I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
33,kishanranjan34,.,,323,76,4728,296,"We are seeing the very popular &amp; impactful scheme of our Hon PM Shri @narendramodi avl - Sukanya Samriddhi Scheme - being gifted by people nowadays

In Kanyakumari, Mandiakadu Temple function yday, the organizers had gifted this life changing scheme to many young girl children. https://t.co/4OgDZpUfDj",[]
34,IamRajonline,"Vande Mataram...A tourism professional...Dedicated and committed towards family, friends & my nation. RTs are not endorsements. Followed by Shri Piyush Goyal","Noida, India",1932,1836,232874,38,"India's ancient wisdom in global spotlight.

World's first &amp; only WHO Global Centre for Traditional Medicine to be set up in Gujarat.

Cabinet led by PM @NarendraModi ji approves setting up of centre to spread the power of our age-old medicine system.

📖 https://t.co/N8YAx1rCbm https://t.co/T02ldmJgvx",[]
35,RimeeRj,अतिअन्ध भक्त- महाराज सिंधिया समर्थक🇮🇳🇮🇳🇮🇳,India,322,24,65,0,"@ZelenskyyUa @narendramodi U have to change ur decision and come with rasiya ,which is ur mother land don't go with NATO and American rasiya always help u and ur people .",[]
36,iAmanOjha_,"🤗A Guy with a dream of TRAVELLING all around Globe.🌍🌎🌏.
Travelling 🚉✈️🧳
Indian By Heart 🇮🇳
Nature's Well-Wisher 💦🌳💧
RT's Not Endorsement",Somewhere On Earth,290,15,2795,0,"Hearty congratulations to BJP for registering a historic victory in 807 out of 977 seats in the Assam civic elections!

It is a symbol of the unwavering faith of the people in @narendramodi ji.
Congratulations to the hardworking CM Shri @himantabiswa. 
@BJP4Assam",[]
37,AshutoshRajanC1,"धार्मिक, सामाजिक और राजनीतिक कार्यकर्ता
(तेरा वैभव अमर रहे मां हम दिन चार रहें न रहें)",Hindustan/Qatar,1293,345,57794,899,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
38,amrik_gujral,,,15,2,168,12,"@FinMinIndia @narendramodi @nsitharamanoffc @DrBhagwatKarad @PIB_India @DDNewslive @airnewsalerts @mygovindia @DFS_India Financial for growth and aspirational economy? 

Suicides, hundreds of PMC Bank depositors killed with NO ACCESS TO THEIR OWN MONEY IN BANK. Over 2 yrs.

Is this growth or is this death of economy and citizens?

https://t.co/XARIMdjM2e",[]
39,DeepPau76462558,i am a simple boy from khowai Tripura,,67,12,1909,899,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
40,Shristy46,"radhe radhe🙏🙏 
छोटी छोटी खुशियां ही तो जीने का सहारा बनती है ।। ख्वाहिशों का क्या वो तो पल-पल बदलती है।। ","Patna, India",1184,1200,31269,255,"PM @narendramodi Ji has brought significant changes for the development of the Maritime field. 

`Whenever I visit China or Pakistan, people tell her that India’s PM is a strong leader': India’s first woman Captain of the Merchant Navy, Captain Radhika Menon. https://t.co/noyM70wkwo",[]
41,CDevsharma,Retired Army Officer,Agra. u P,334,438,164906,811,"The landslide victory in Assam municipal elections reflects people’s unwavering trust in PM @narendramodi led BJP’s politics of development.

Grateful to the people of Assam for their continued support. Congratulations to CM @himantabiswa, @Bhabesh_KalitaR, @BJP4Assam &amp; our ally. https://t.co/WEtZsxvQtD",[]
42,RahulGu74248433,ENT Surgeon,,85,27,1021,899,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
43,L_Chaurasiya5,Social worker,,1182,852,11222,37,"Congratulations to all @BJP4Assam Karyakartas for massive win in #MunicipalElections.

This is result of efficient leadership, decisive policies &amp; hardwork of Sh. @himantabiswa Ji.

This mirrors people's faith in Hon PM @narendramodi Ji's vision of development of North-East. https://t.co/C1gGBOWiqG",['MunicipalElections']
44,ASKakash0501,,,1,0,150,614,"The unemployment in the country is rocketing high, NMP is ready to sell all PSUs and Privatisation is going to further eradicate the employment and Reservation. All parties are playing politics. Jago Youth Jago.
⁦@narendramodi⁩⁦@DFS_India⁩
⁦@ndtvindia⁩ ⁦ https://t.co/F004R3YqJd",[]
45,Vikash_0886,"🙏🚩एक गौरान्वित हिन्दू, अपने जागृत हिंदुओं का सेवक🙏🚩",Bangalore,1320,1473,129742,104,"Why couldn't our PM @narendramodi speak about religious persecution of hindus  to Bangladesh PM? 
Atleast bargain something for hindus before saving their students.. https://t.co/PgCzZpoP0d",[]
46,jupiterfestttt,surviving,India ,49,2,27,0,"We students are begging for help and nobody even cares.
@narendramodi
@ShashiTharoor
@EduMinOfIndia
#InternalAssessmentForAll2022",['InternalAssessmentForAll2022']
47,Saravan90352808,ஜெய்ஹிந்த் 🇮🇳🇮🇳,Kodambakkam,134,53,1836,2613,"Interviews after interviews, our Tamil students who had returned from Ukraine are very clear with their truth! 

Their respect &amp; admiration for our Hon PM Shri @narendramodi avl is there for all to hear &amp; see. 

None of the usual @arivalayam ‘s rhetorics are working this time. https://t.co/3QCtq172sF",[]
48,DeepDhamma,,,452,229,2785,108,"Will Mr. Devendra Fadnavis reply why the Prime Minister keeps on visiting Mr. Sharadchandra Pawar's home if you connect his party with Dawood Ibrahim?

@Dev_Fadnavis @narendramodi",[]
49,fire_nag,Bharata Bhagya Vidhata 🇮🇳,Bharat🚩,52,2,84,0,@ShashiTharoor @narendramodi That's my PM❤️ Shashi ji🤗☺️,[]
50,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187359,0,"@mygovindia @narendramodi @PMOIndia @PIB_India @MIB_India @smritiirani I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
51,tops_kumar,Social worker,,197,128,9969,131,"Impetus To Road Infrastructure Development In #Telangana By The @NarendraModi Govt:

Under #BharatmalaPariyojna a budget outlay of ₹2146.86 Crore has been sanctioned for 4-Laning of Karimnagar and Warangal section of NH-563. https://t.co/wrWI53YMAC","['Telangana', 'BharatmalaPariyojna']"
52,tony_karyakarta,धर्मो रक्षति रक्षित:,জয় মাঁ কামাখ্যা 🙏🏻,191,1894,78616,1,"@tony_karyakarta @Swamy39 @himantabiswa @narendramodi @BJP4India Great , and exemplary. Other CMs are suppose to follow his commitment parts, to the his constituents , in Particular and state of Assam in general.",[]
53,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187359,0,"@mygovindia @narendramodi @PMOIndia @airnewsalerts @DDNational I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
54,gotovivek2008,Always do something better,Muzaffarpur,16,43,8858,614,"The unemployment in the country is rocketing high, NMP is ready to sell all PSUs and Privatisation is going to further eradicate the employment and Reservation. All parties are playing politics. Jago Youth Jago.
⁦@narendramodi⁩⁦@DFS_India⁩
⁦@ndtvindia⁩ ⁦ https://t.co/F004R3YqJd",[]
55,raj_hitlar,,,11,260,16282,899,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
56,SwatiDi51483608,,,1,0,1,2,"My son, Kaustubh thanking our PM @narendramodi @PMOIndia for working tirelessly to save Divyansh and thousands others stranded in Ukraine.
Heartfelt thanks to @MEAIndia
@DrSJaishankar
@JM_Scindia @HardeepSPuri @Gen_VKSingh @KirenRijiju @opganga #indianstudentsinukraine https://t.co/6nxPmd9djU",[]
57,_bhavtoshsharma,,India,94,49,25122,18,"What has happened since @narendramodi came to power 

1. Middlemen/ Dalaal have disappeared. 

2. Scams have disappeared. 

3. Bomb Attacks across India stopped. 

4. Indian Mujahideen inactive or dead. 

5. Countless Nationalist Social Media channels, books getting prominence.",[]
58,Shrikant_STPIB,Software Technology Parks of India Bengaluru-STPIB,"Bengaluru, India",230,401,215183,3,"Thank you @BSBommai @CMofKarnataka @UmeshJadhav_BJP for collective efforts. 
Request @PiyushGoyal @PiyushGoyalOffc @PMOIndia @narendramodi @blsanthosh to approve Mega Textile Park at #Kalaburagi 

#MITRA https://t.co/MQA8hcI7Xt",[]
59,Biswaji01809969,Registered Pharmacist,Bhubaneswar Odisha India,727,91,6646,148,"To promote global wellness, position Ayush systems across the globe, provide leadership in traditional medicine, PM Shri @narendramodi has approved establishment of a first-of-a-kind WHO Global Centre for Traditional Medicine in India in association with @WHO. https://t.co/AbAiocCNte",[]
60,Vikram885,,,1327,169,119385,11,My column on changes needed to fix and clean up our capital market and #NSE @FinMinIndia @nsitharaman #SEBI #ColoScam #AbsolutePower @Moneylifers @narendramodi https://t.co/bqyJPCJAcA,"['NSE', 'SEBI', 'ColoScam']"
61,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187359,0,"@mygovindia @narendramodi I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
62,windowtonews,"Window To News brings you the Breaking News & Latest Leads, Articles and Videos on Entertainment, Gossips, Business, Current Affairs ,Emerging Technologies....","Bhopal, India",759,268,155442,0,"Sheikh Hasina thanks PM Modi for evacuating 9 Bangladeshi nationals from Ukraine - Window To News https://t.co/YfpG8ve8F9 

#NewDelhi #SheikhHasina #NarendraModi","['NewDelhi', 'SheikhHasina', 'NarendraModi']"
63,AnkiySahoo,"@IIMC_India Alumni🎓 ll
#Journalist  
#Socialactivist ll 
#Blog_Writer 
    sahoomama77@gmail.com ✉",Odisha,25,1578,5184,0,@Sanu3601 @PragativadiNews @narendramodi @nabadasjsg @WHO @mannkibaat @ANI @AnubhavMohanty_ @WCDOdisha @ArgusNews_in @GovernorOdisha @TukuniSahu @UNICEF @smritiirani @unwomenuganda @CMO_Odisha @dpradhanbjp @IPR_Odisha @otvnews @sabyaactor @districtadmndkl @kanak_news @PMOIndia @Naveen_Odisha Not interested,[]
64,ragulkrishnaRK,"I am proud to be an Indian.🚩                                               
BJP IT & SM WING. 
Followed by @CTR_Nirmalkumar Anna IT&SM State President 🙏🏻🙏🏻",Tamilnadu,1496,670,9000,2613,"Interviews after interviews, our Tamil students who had returned from Ukraine are very clear with their truth! 

Their respect &amp; admiration for our Hon PM Shri @narendramodi avl is there for all to hear &amp; see. 

None of the usual @arivalayam ‘s rhetorics are working this time. https://t.co/3QCtq172sF",[]
65,jd32768519,CR7,Gaya,4995,3060,329117,5,@pankajpujari @zoo_bear Ukraine war: know how the @narendramodi  government took credit for Pesochin evacuation which actually was done by education firms 👇https://t.co/uKkUFz5mMN https://t.co/Ba2Y24KMVx,[]
66,BITINGS38,,,16,1,4,1,"@himantabiswa @narendramodi Respected  sir ,sir from when we are getting a scholarship ,   I got a scholarship  on   Dec month  in every previous year but this year is to let sir please tell me from when we are getting  a scholarship.. sorry sir for asking about that .. couse I haven't any financial issues.",[]
67,lokeshntripathi,"Professor B.Ed. Department, B.R.D.P.G. College, Deoria.U.P. joint secretary GUACTA","Gorakhpur, U.P.",118,158,749,0,"@rajnathsingh @narendramodi @himantabiswa @BJP4Assam Do the favour for Govt.sector employees, restore OPS as sooner as possible.",[]
68,Patel_Jay_A,"#Only Modi, Yogi And #Motabhai Supporter
#Diehard Fan Of Gujarat Police","Gujarat, India",87,395,77598,175,"Stellar victory of @BJP4India in Assam Municipal polls where it has managed to bag 96.25% of total Boards (77 / 80) shows faith people of Assam have in Act East Policy of PM @narendramodi ji , dedication of party karyakartas under @JPNadda ji &amp; governance  under @himantabiswa ji https://t.co/CGSX3snZ6t",[]
69,LegalMul,Justice for Tet teacher bihar. Respect Supreme Court judgement Para 78.Treat as assistant teacher.,,902,992,31523,30,Pm ji plz restart OPS …without OPS there is no future for government employees..🙏 #RestoreOldPension #पुरानी_पेंशन_बहाल_करो @PMOIndia @narendramodi @cpfeupb,['RestoreOldPension']
70,Veeresh23180963,,,26,1,89,26,"This victory is a reflection of people's trust and confidence in Shri @narendramodi ji's leadership and Shri @himantabiswa ji's governance.
Our deepest gratitude to the people of Assam.",[]
71,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187359,0,"@mygovindia @DevJhajharia @narendramodi @PMOIndia @YASMinistry @ianuragthakur @IndiaSports @PIB_India @MIB_India I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
72,Mayu_mahesh9,"Simple and easy going, Tweets and retweets are personal.","Hyderabad, India",206,154,21270,2613,"Interviews after interviews, our Tamil students who had returned from Ukraine are very clear with their truth! 

Their respect &amp; admiration for our Hon PM Shri @narendramodi avl is there for all to hear &amp; see. 

None of the usual @arivalayam ‘s rhetorics are working this time. https://t.co/3QCtq172sF",[]
73,Rajats34,"Spl.AMBASSADOR-US Presidential Service Center
MLE-HARVARD LEADERSHIP EXL.
SPL.ENVOY-HRH PRINCE MADAGASCAR 🇲🇬
Pro V.Chancellor-CUIC
Chairman
https://t.co/vhbckF2Jww","Gujarat, India",198,1763,566,2,"Attn. Pl., What you Learn from #afghan or #UkraineRussiaWar @narendramodi @PMOIndia @JPNadda @AmitShah @gssjodhpur @smritiirani @roshan_b @ApoorvOmArtist @wanderluster77 @ConnectAID_int @SDGAdvocates @SDG2030 @AdamRogers2030 @GaelleMogli @antonioguterres @GCNIndia #lifecoach (RT) https://t.co/vpofrdZRLf","['afghan', 'UkraineRussiaWar']"
74,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187359,0,"@mygovindia @narendramodi I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
